Panel_Type,Production_Line,Panel_Brightness,Response_Time,Lifetime,Power_Consumption,QC_Status,Production_Quarter
OLED,Line_B,3880,2,19000,3950,Fail,2023_Q2
OLED,Line_B,4220,1.85,18000,3550,Pass,2023_Q2
OLED,Line_B,3760,1.93,18100,3300,Pass,2023_Q2
OLED,Line_B,3980,1.91,18400,4650,Fail,2023_Q2
OLED,Line_B,3650,1.8,18200,3150,Pass,2023_Q2
OLED,Line_B,4080,1.84,19500,3900,Fail,2023_Q2
OLED,Line_B,3600,1.85,18600,3100,Pass,2023_Q2
OLED,Line_B,4410,1.97,19600,4400,Fail,2023_Q2
OLED,Line_B,3700,1.69,18500,3000,Pass,2023_Q2
OLED,Line_B,3960,1.88,19000,4600,Fail,2023_Q2
OLED,Line_B,4110,1.9,18200,3425,Fail,2023_Q2
OLED,Line_B,3750,1.89,17900,2975,,2023_Q2
OLED,Line_B,3600,1.79,19000,3450,Pass,2023_Q2
OLED,Line_B,4230,2.12,19100,4150,Fail,2023_Q2
OLED,Line_A,3960,1.77,18600,3500,Pass,2023_Q3
OLED,Line_A,4010,1.89,18800,4300,Fail,2023_Q3
OLED,Line_A,3500,1.79,19000,3450,Pass,2023_Q3
OLED,Line_A,4200,1.95,20000,4050,Fail,2023_Q3
OLED,Line_A,3450,1.81,18700,2900,Pass,2023_Q3
OLED,Line_A,4140,1.86,19100,3700,Fail,2023_Q3
OLED,Line_A,3900,1.75,18600,3550,Pass,2023_Q3
OLED,Line_A,4060,1.88,19300,3800,Fail,2023_Q3
OLED,Line_A,3650,1.66,18100,2850,Pass,2023_Q3
OLED,Line_A,3760,1.91,19400,3750,Fail,2023_Q3
OLED,Line_A,3570,1.69,18500,3150,Pass,2023_Q3
OLED,Line_A,4130,2.11,19500,4400,Fail,2023_Q3
OLED,Line_A,3760,1.7,18500,3600,Pass,2023_Q3
OLED,Line_A,4110,1.82,19200,4050,Fail,2023_Q3
OLED,Line_A,3640,1.71,18400,2850,Pass,2023_Q3
OLED,Line_A,4160,1.8,19200,3950,Fail,2023_Q3
OLED,Line_A,3550,1.62,19500,3350,Pass,2023_Q3
OLED,Line_A,4110,1.91,18800,4100,Fail,2023_Q3
OLED,Line_C,3590,1.66,19000,3050,Pass,2023_Q3
OLED,Line_C,4180,1.94,19800,4450,Fail,2023_Q3
OLED,Line_C,3350,1.9,19000,3600,Pass,2023_Q3
OLED,Line_C,3970,1.84,19000,3900,Fail,2023_Q3
OLED,Line_C,3960,1.72,19600,3550,Pass,2023_Q3
OLED,Line_C,4580,1.89,19700,4150,Fail,2023_Q3
OLED,Line_C,3550,1.75,19000,3700,Pass,2023_Q3
OLED,Line_C,4280,1.85,19500,4250,Fail,2023_Q3
OLED,Line_C,4090,1.68,19100,3700,Pass,2023_Q3
OLED,Line_C,3720,1.94,18400,3900,Fail,2023_Q3
OLED,Line_C,3620,1.61,18700,3550,Pass,2023_Q3
OLED,Line_C,4210,1.91,19500,4000,Fail,2023_Q3
OLED,Line_C,3460,1.72,18900,3200,Pass,2023_Q3
OLED,Line_C,4290,1.76,19600,4700,Fail,2023_Q3
OLED,Line_C,3670,1.88,18700,3800,Pass,2023_Q3
OLED,Line_C,3510,1.94,19300,4200,Fail,2023_Q3
OLED,Line_B,3730,1.78,19100,3350,Pass,2023_Q3
OLED,Line_B,4130,2.03,19400,3550,Fail,2023_Q3
OLED,Line_B,3630,1.95,19000,3800,Fail,2023_Q3
OLED,Line_B,3690,1.86,18900,3500,Pass,2023_Q3
OLED,Line_B,3830,1.92,18900,3950,Fail,2023_Q3
OLED,Line_B,3890,1.88,19000,3600,Pass,2023_Q3
OLED,Line_B,3570,1.8,20200,3550,Pass,2023_Q3
OLED,Line_B,4110,1.81,20500,4300,Fail,2023_Q3
OLED,Line_B,3400,1.71,18500,3400,Pass,2023_Q3
OLED,Line_B,3960,1.81,18600,4450,Fail,2023_Q3
OLED,Line_B,3620,1.73,18700,3300,Pass,2023_Q3
OLED,Line_B,4080,1.89,20800,4300,Fail,2023_Q3
OLED,Line_B,3810,1.86,19000,3700,Pass,2023_Q3
OLED,Line_B,4030,1.85,19600,4350,Fail,2023_Q3
OLED,Line_B,3310,1.61,17800,2900,Pass,2023_Q3
OLED,Line_B,4320,1.85,19200,4100,Fail,2023_Q3
OLED,Line_A,3500,1.79,19200,3725,Pass,2023_Q4
OLED,Line_A,4100,2,20300,4725,Fail,2023_Q4
OLED,Line_A,3770,1.6,18300,3075,Pass,2023_Q4
OLED,Line_A,3780,2,19000,4250,Fail,2023_Q4
OLED,Line_A,3790,1.86,19300,2925,Pass,2023_Q4
OLED,Line_A,3970,1.89,18400,3550,Fail,2023_Q4
OLED,Line_A,3860,1.72,19900,3750,Pass,2023_Q4
OLED,Line_A,3820,2,19000,3900,Fail,2023_Q4
OLED,Line_A,3810,1.7,18100,3175,Pass,2023_Q4
OLED,Line_A,4320,1.9,19700,4775,Fail,2023_Q4
OLED,Line_A,3810,1.65,19800,3825,Pass,2023_Q4
OLED,Line_A,4560,2.03,19100,4600,Fail,2023_Q4
OLED,Line_A,3970,1.77,19300,3200,Pass,2023_Q4
OLED,Line_A,4220,1.95,19700,4275,Fail,2023_Q4
OLED,Line_A,3960,2.07,19100,3900,Pass,2023_Q4
OLED,Line_A,4270,1.83,19600,4075,Fail,2023_Q4
OLED,Line_C,3860,1.7,18800,2900,Pass,2023_Q4
OLED,Line_C,3730,2.05,19900,3775,Fail,2023_Q4
OLED,Line_C,3570,1.7,18900,3350,Pass,2023_Q4
OLED,Line_C,4110,1.86,18900,3325,Fail,2023_Q4
OLED,Line_C,3620,1.72,18700,3150,Pass,2023_Q4
OLED,Line_C,3770,1.98,19800,3500,Fail,2023_Q4
OLED,Line_C,4020,1.7,17600,3450,Pass,2023_Q4
OLED,Line_C,4140,1.85,20200,3875,Fail,2023_Q4
OLED,Line_C,3520,1.59,18600,3050,Pass,2023_Q4
OLED,Line_C,4060,1.9,19900,4000,Fail,2023_Q4
OLED,Line_C,3880,1.76,19100,3275,Pass,2023_Q4
OLED,Line_C,4150,1.83,19500,4300,Fail,2023_Q4
OLED,Line_C,3900,1.71,19100,3050,Pass,2023_Q4
OLED,Line_C,4410,1.8,21000,4000,Fail,2023_Q4
OLED,Line_C,3850,1.79,19000,3325,Pass,2023_Q4
OLED,Line_C,4310,1.92,19700,3500,Fail,2023_Q4
OLED,Line_B,3680,1.85,19300,3500,Pass,2023_Q4
OLED,Line_B,3750,1.85,19900,4475,Fail,2023_Q4
OLED,Line_B,3810,1.76,18700,3425,Pass,2023_Q4
OLED,Line_B,4110,1.75,19000,3900,Fail,2023_Q4
OLED,Line_B,3560,1.75,19100,3175,Pass,2023_Q4
OLED,Line_B,4020,2.01,20000,3975,Fail,2023_Q4
OLED,Line_B,3700,1.65,18500,3400,Pass,2023_Q4
OLED,Line_B,3970,1.79,19300,4250,Fail,2023_Q4
OLED,Line_B,4020,1.71,19300,3400,Pass,2023_Q4
OLED,Line_B,4060,1.72,18700,3475,Fail,2023_Q4
OLED,Line_B,3210,1.55,18800,3050,Pass,2023_Q4
OLED,Line_B,4070,1.7,19000,3725,Fail,2023_Q4
OLED,Line_B,3730,1.68,19200,3000,Pass,2023_Q4
OLED,Line_B,3900,1.87,18500,3650,Fail,2023_Q4
OLED,Line_B,3920,1.86,19000,4250,Fail,2023_Q4
OLED,Line_B,3660,1.84,18400,3475,Pass,2023_Q4
OLED,Line_B,3600,1.78,19500,3450,Pass,2023_Q4
OLED,Line_B,3780,1.81,19300,3750,Fail,2023_Q4
OLED,Line_B,3600,1.71,18700,3700,Pass,2023_Q4
OLED,Line_B,4150,1.85,20100,4000,Fail,2023_Q4
Mini-LED,Line_A,4610,1.32,21100,4500,Pass,2023_Q2
Mini-LED,Line_A,5000,1.63,23000,5700,Fail,2023_Q2
Mini-LED,Line_A,4870,1.41,21000,4450,Pass,2023_Q2
Mini-LED,Line_A,5000,1.52,21800,5700,Fail,2023_Q2
Mini-LED,Line_A,4760,1.45,21500,5400,Fail,2023_Q2
Mini-LED,Line_A,4650,1.35,21000,4550,Pass,2023_Q2
Mini-LED,Line_A,4540,1.46,21100,4800,Pass,2023_Q2
Mini-LED,Line_A,4670,1.53,21900,5200,Fail,2023_Q2
Mini-LED,Line_A,4330,1.34,20900,4400,Pass,2023_Q2
Mini-LED,Line_A,4680,1.54,21500,5150,Fail,2023_Q2
Mini-LED,Line_A,4090,1.37,21400,4650,Pass,2023_Q2
Mini-LED,Line_A,4900,1.61,21600,5550,Fail,2023_Q2
Mini-LED,Line_A,4550,1.37,21400,4650,Pass,2023_Q2
Mini-LED,Line_A,4840,1.46,21300,5850,Fail,2023_Q2
Mini-LED,Line_A,4580,1.46,21000,4200,Pass,2023_Q2
Mini-LED,Line_A,4930,1.57,21700,5850,Fail,2023_Q2
Mini-LED,Line_A,4200,1.35,21000,4150,Pass,2023_Q2
Mini-LED,Line_A,4920,1.52,22100,6300,Fail,2023_Q2
Mini-LED,Line_A,4620,1.45,20900,4800,Pass,2023_Q2
Mini-LED,Line_A,4870,1.51,22200,5350,Fail,2023_Q2
Mini-LED,Line_A,5020,1.43,21800,5700,Fail,2023_Q2
Mini-LED,Line_A,4510,1.45,21500,5000,Pass,2023_Q2
Mini-LED,Line_A,4650,1.45,21300,4400,Pass,2023_Q2
Mini-LED,Line_A,4630,1.58,21500,5050,Fail,2023_Q2
Mini-LED,Line_A,4290,1.31,21500,5000,Pass,2023_Q2
Mini-LED,Line_A,4610,1.51,21500,5100,Fail,2023_Q2
Mini-LED,Line_A,4450,1.43,21600,4100,,2023_Q2
Mini-LED,Line_A,4780,1.5,21500,5650,Fail,2023_Q2
Mini-LED,Line_A,4820,1.43,21000,4600,Pass,2023_Q2
Mini-LED,Line_A,5000,1.53,22000,5550,Fail,2023_Q2
Mini-LED,Line_A,4730,1.53,22200,5250,Fail,2023_Q2
Mini-LED,Line_A,4280,1.42,20900,4700,Pass,2023_Q2
Mini-LED,Line_A,4510,1.45,20700,5050,Pass,2023_Q2
Mini-LED,Line_A,5960,1.7,23000,6050,Fail,2023_Q2
Mini-LED,Line_A,4910,1.48,22000,5150,Pass,2023_Q3
Mini-LED,Line_A,4840,1.63,22000,5400,Fail,2023_Q3
Mini-LED,Line_A,4260,1.37,21300,4950,Pass,2023_Q3
Mini-LED,Line_A,4440,1.73,21900,5250,Fail,2023_Q3
Mini-LED,Line_A,4400,1.36,20800,4350,Pass,2023_Q3
Mini-LED,Line_A,4870,1.57,20800,5350,Fail,2023_Q3
Mini-LED,Line_A,4270,1.37,20800,3950,Pass,2023_Q3
Mini-LED,Line_A,4960,1.6,22500,5700,Fail,2023_Q3
Mini-LED,Line_A,4530,1.37,21000,4300,Pass,2023_Q3
Mini-LED,Line_A,4960,1.5,21600,4750,Fail,2023_Q3
Mini-LED,Line_A,5050,1.59,22200,5550,Fail,2023_Q3
Mini-LED,Line_A,4360,1.39,21700,4900,Pass,2023_Q3
Mini-LED,Line_A,4550,1.39,21000,4200,Pass,2023_Q3
Mini-LED,Line_A,5050,1.59,22500,5400,Fail,2023_Q3
Mini-LED,Line_A,4490,1.33,21300,5100,Pass,2023_Q3
Mini-LED,Line_A,4520,1.58,21500,5300,Fail,2023_Q3
Mini-LED,Line_A,4660,1.42,21000,4850,Pass,2023_Q3
Mini-LED,Line_A,4850,1.41,22000,5300,Fail,2023_Q3
Mini-LED,Line_A,4510,1.44,21000,4400,Pass,2023_Q3
Mini-LED,Line_A,5010,1.5,22500,5000,Fail,2023_Q3
Mini-LED,Line_A,4650,1.44,21700,4900,Pass,2023_Q3
Mini-LED,Line_A,4500,1.54,22000,5050,Fail,2023_Q3
Mini-LED,Line_A,4380,1.39,20800,4300,Pass,2023_Q3
Mini-LED,Line_A,4550,1.5,22000,5000,Fail,2023_Q3
Mini-LED,Line_A,4320,1.45,20800,4450,Pass,2023_Q3
Mini-LED,Line_A,5040,1.53,22400,5550,Fail,2023_Q3
Mini-LED,Line_A,4530,1.38,20800,4200,Pass,2023_Q3
Mini-LED,Line_A,4620,1.49,22100,5300,Fail,2023_Q3
Mini-LED,Line_A,4570,1.39,21400,4400,Pass,2023_Q3
Mini-LED,Line_A,5430,1.57,23100,5650,Fail,2023_Q3
Mini-LED,Line_A,4580,1.42,21900,4700,Pass,2023_Q3
Mini-LED,Line_A,4980,1.68,23000,5700,Fail,2023_Q3
Mini-LED,Line_A,4620,1.44,21400,4650,,2023_Q3
Mini-LED,Line_A,4950,1.62,22900,5800,Fail,2023_Q3
Mini-LED,Line_A,4350,1.42,22000,4700,Pass,2023_Q3
Mini-LED,Line_A,5070,1.5,22300,5550,Fail,2023_Q3
Mini-LED,Line_A,4770,1.5,21600,4750,Pass,2023_Q3
Mini-LED,Line_A,4640,1.56,22100,5000,Fail,2023_Q3
Mini-LED,Line_A,4820,1.56,22100,5100,Fail,2023_Q3
Mini-LED,Line_A,4650,1.48,21700,5200,Pass,2023_Q3
Mini-LED,Line_A,4640,1.5,21600,4700,Pass,2023_Q3
Mini-LED,Line_A,4860,1.6,23000,5800,Fail,2023_Q3
Mini-LED,Line_A,4750,1.42,20900,4600,Pass,2023_Q3
Mini-LED,Line_A,5110,1.63,22000,6000,Fail,2023_Q3
Mini-LED,Line_A,4520,1.38,21500,4750,Pass,2023_Q3
Mini-LED,Line_A,4520,1.64,22300,5950,Fail,2023_Q3
Mini-LED,Line_A,4910,1.45,21200,4625,Pass,2023_Q4
Mini-LED,Line_A,5250,1.56,22100,5450,Fail,2023_Q4
Mini-LED,Line_A,4740,1.46,21200,4725,Pass,2023_Q4
Mini-LED,Line_A,5000,1.59,22400,5350,Fail,2023_Q4
Mini-LED,Line_A,4490,1.38,21200,4750,Pass,2023_Q4
Mini-LED,Line_A,5080,1.73,22800,5600,Fail,2023_Q4
Mini-LED,Line_A,4340,1.44,21800,4600,Pass,2023_Q4
Mini-LED,Line_A,5130,1.42,21800,5300,Fail,2023_Q4
Mini-LED,Line_A,4750,1.4,21200,4875,Pass,2023_Q4
Mini-LED,Line_A,5210,1.7,23000,5550,Fail,2023_Q4
Mini-LED,Line_A,4750,1.5,21800,4950,Pass,2023_Q4
Mini-LED,Line_A,5220,1.71,22800,5400,Fail,2023_Q4
Mini-LED,Line_A,4550,1.45,21200,4750,Pass,2023_Q4
Mini-LED,Line_A,4950,1.61,22400,5650,Fail,2023_Q4
Mini-LED,Line_A,4450,1.47,21400,4850,Pass,2023_Q4
Mini-LED,Line_A,5080,1.57,22600,5200,Fail,2023_Q4
Mini-LED,Line_A,4940,1.58,21600,4925,Fail,2023_Q4
Mini-LED,Line_A,4690,1.46,22200,4875,Pass,2023_Q4
Mini-LED,Line_A,4840,1.44,20300,4625,Pass,2023_Q4
Mini-LED,Line_A,5110,1.65,22500,5250,Fail,2023_Q4
Mini-LED,Line_A,4850,1.5,21900,4850,Pass,2023_Q4
Mini-LED,Line_A,5590,1.7,22800,5600,Fail,2023_Q4
Mini-LED,Line_A,4720,1.55,21500,4975,Pass,2023_Q4
Mini-LED,Line_A,4910,1.5,22800,5500,Fail,2023_Q4
Mini-LED,Line_A,4730,1.38,21600,4725,,2023_Q4
Mini-LED,Line_A,4680,1.61,21500,5500,Fail,2023_Q4
Mini-LED,Line_A,4170,1.47,21000,4700,Pass,2023_Q4
Mini-LED,Line_A,5340,1.58,21900,5500,Fail,2023_Q4
Mini-LED,Line_A,4330,1.4,20800,4575,Pass,2023_Q4
Mini-LED,Line_A,4810,1.51,20900,5500,Fail,2023_Q4
Mini-LED,Line_A,5050,1.52,21600,5000,Pass,2023_Q4
Mini-LED,Line_A,4980,1.59,22900,5950,Fail,2023_Q4
Mini-LED,Line_A,4350,1.52,21300,4650,Pass,2023_Q4
Mini-LED,Line_A,5150,1.63,23000,5500,Fail,2023_Q4
Mini-LED,Line_A,4620,1.41,21700,4375,Pass,2023_Q4
Mini-LED,Line_A,5510,1.6,23000,5850,Fail,2023_Q4
Mini-LED,Line_A,4450,1.57,21700,4875,,2023_Q4
Mini-LED,Line_A,4880,1.62,22200,6000,Fail,2023_Q4
Mini-LED,Line_A,4720,1.37,21400,4925,Pass,2023_Q4
Mini-LED,Line_A,,,,,,2023_Q4
Mini-LED,Line_A,4680,1.43,21500,4850,Pass,2023_Q4
Mini-LED,Line_A,5040,1.57,22200,5750,Fail,2023_Q4
Mini-LED,Line_A,4520,1.48,21200,5200,Pass,2023_Q4
Mini-LED,Line_A,4990,1.61,21300,5400,Fail,2023_Q4
QLED,Line_B,4650,1.79,19200,3500,Pass,2023_Q2
QLED,Line_B,5000,1.95,19600,3900,Fail,2023_Q2
QLED,Line_B,5130,1.92,19300,3650,Fail,2023_Q2
QLED,Line_B,4540,1.87,18800,3525,Pass,2023_Q2
QLED,Line_B,5270,1.98,19700,3725,Fail,2023_Q2
QLED,Line_B,4520,1.78,19800,3950,Pass,2023_Q2
QLED,Line_B,4610,1.82,17800,3250,Pass,2023_Q2
QLED,Line_B,5130,1.82,19700,3750,Fail,2023_Q2
QLED,Line_B,4600,1.89,19500,4150,Pass,2023_Q2
QLED,Line_B,5130,1.99,19800,3700,Fail,2023_Q2
QLED,Line_B,4660,1.78,19300,3800,Pass,2023_Q2
QLED,Line_B,5170,2.03,19400,3775,Fail,2023_Q2
QLED,Line_B,4700,1.73,18500,3700,Pass,2023_Q2
QLED,Line_B,5200,1.81,20100,4050,Fail,2023_Q2
QLED,Line_B,4590,1.71,19000,3575,Pass,2023_Q2
QLED,Line_B,5050,1.96,20100,4050,Fail,2023_Q2
QLED,Line_B,5030,2,19700,3300,Fail,2023_Q2
QLED,Line_B,5800,1.78,18100,3700,Pass,2023_Q2
QLED,Line_B,4640,1.86,19000,3450,Pass,2023_Q2
QLED,Line_B,4920,1.82,19500,4400,Fail,2023_Q2
QLED,Line_B,4240,1.73,18100,3600,Pass,2023_Q2
QLED,Line_B,4850,1.75,19100,3400,Fail,2023_Q2
QLED,Line_B,4320,1.66,18700,2900,Pass,2023_Q2
QLED,Line_B,5060,1.94,19300,3800,Fail,2023_Q2
QLED,Line_B,4670,1.79,19500,3300,Pass,2023_Q2
QLED,Line_B,5200,1.9,19700,4150,Fail,2023_Q2
QLED,Line_B,5050,1.84,20000,3400,Pass,2023_Q3
QLED,Line_B,4950,1.9,20000,3800,Fail,2023_Q3
QLED,Line_B,4640,1.78,19100,3700,Pass,2023_Q3
QLED,Line_B,5280,2,20500,4550,Fail,2023_Q3
QLED,Line_B,4090,1.66,18700,3200,Pass,2023_Q3
QLED,Line_B,5420,2.08,20100,4300,Fail,2023_Q3
QLED,Line_B,4250,1.67,18700,3350,Pass,2023_Q3
QLED,Line_B,5100,1.88,20300,4100,Fail,2023_Q3
QLED,Line_B,4970,1.86,19500,3600,Fail,2023_Q3
QLED,Line_B,4750,1.68,19900,3900,Pass,2023_Q3
QLED,Line_B,4760,1.83,19500,3850,Pass,2023_Q3
QLED,Line_B,5200,2.07,21000,4800,Fail,2023_Q3
QLED,Line_B,4690,1.66,19200,2700,Pass,2023_Q3
QLED,Line_B,5350,1.99,20500,4500,Fail,2023_Q3
QLED,Line_B,4900,1.95,21000,3950,Fail,2023_Q3
QLED,Line_B,4620,1.75,18700,3650,Pass,2023_Q3
QLED,Line_B,5090,1.91,19600,3550,Fail,2023_Q3
QLED,Line_B,4550,1.7,19600,3500,Pass,2023_Q3
QLED,Line_B,5090,1.79,19600,3675,Pass,2023_Q4
QLED,Line_B,5080,1.85,20100,4450,Fail,2023_Q4
QLED,Line_B,5010,1.79,19000,3400,Pass,2023_Q4
QLED,Line_B,4900,1.96,21200,4300,Fail,2023_Q4
QLED,Line_B,5150,1.87,18700,3250,Fail,2023_Q4
QLED,Line_B,4980,1.73,19800,3675,Pass,2023_Q4
QLED,Line_B,4810,1.64,19900,3325,Pass,2023_Q4
QLED,Line_B,5140,1.9,20100,3950,Fail,2023_Q4
QLED,Line_B,4570,1.73,19300,3600,Pass,2023_Q4
QLED,Line_B,5070,1.97,20300,4050,Fail,2023_Q4
QLED,Line_B,4250,1.73,18700,3350,Pass,2023_Q4
QLED,Line_B,5220,1.88,19700,3450,Fail,2023_Q4
QLED,Line_B,4520,1.66,19100,3250,Pass,2023_Q4
QLED,Line_B,4930,1.99,20300,4050,Fail,2023_Q4
QLED,Line_B,5020,1.88,20200,3800,Fail,2023_Q4
QLED,Line_B,4560,1.94,19400,3525,Pass,2023_Q4
QLED,Line_B,5190,1.95,20600,3950,Fail,2023_Q4
QLED,Line_B,4680,1.65,18900,3650,Pass,2023_Q4
QLED,Line_B,4570,1.7,19500,3650,Pass,2023_Q4
QLED,Line_B,5580,1.98,20700,4000,Fail,2023_Q4
QLED,Line_B,4350,1.81,20200,3400,Pass,2023_Q4
QLED,Line_B,4960,1.82,19300,3775,Fail,2023_Q4
QLED,Line_B,5080,1.9,21000,4100,Fail,2023_Q4
QLED,Line_B,5020,1.87,19800,3775,Pass,2023_Q4
